Date,Account value
9/15/2021,"27,489.62"
9/16/2021,"27,510.55"
9/17/2021,"27,079.33"
9/20/2021,"26,406.32"
9/21/2021,"26,462.33"
9/22/2021,"27,778.03"
9/23/2021,"28,107.43"
9/24/2021,"28,161.66"
9/27/2021,"27,897.51"
9/28/2021,"26,908.07"
9/29/2021,"26,877.70"
9/30/2021,"26,746.39"
10/1/2021,"27,029.09"
10/4/2021,"26,380.24"
10/5/2021,"26,808.56"
10/6/2021,"27,052.71"
10/7/2021,"27,374.39"
10/8/2021,"27,237.43"
10/11/2021,"27,050.99"
10/12/2021,"26,962.34"
10/13/2021,"27,250.22"
10/14/2021,"27,864.57"
10/15/2021,"28,076.11"
10/18/2021,"28,466.11"
10/19/2021,"28,674.42"
10/20/2021,"28,654.07"
10/21/2021,"28,936.89"
10/22/2021,"28,779.33"
10/25/2021,"29,075.58"
10/26/2021,"29,193.11"
10/27/2021,"30,378.89"
10/28/2021,"30,707.33"
10/29/2021,"30,915.93"
11/1/2021,"31,021.34"
11/2/2021,"31,266.87"
11/3/2021,"31,605.73"
11/4/2021,"32,215.22"
11/5/2021,"32,200.75"
11/8/2021,"32,487.91"
11/9/2021,"32,277.81"
11/10/2021,"31,610.44"
11/11/2021,"31,864.98"
11/12/2021,"32,264.45"
11/15/2021,"32,220.85"
11/16/2021,"32,621.32"
11/17/2021,"32,569.40"
11/18/2021,"33,005.81"
11/19/2021,"33,217.32"
11/22/2021,"32,802.86"
11/23/2021,"32,630.32"
11/24/2021,"32,916.41"
11/25/2021,"32,916.41"
11/26/2021,"32,141.30"
11/29/2021,"32,953.37"
11/30/2021,"32,350.32"
12/1/2021,"31,648.32"
12/2/2021,"31,937.88"
12/3/2021,"31,301.84"
12/6/2021,"31,482.50"
12/7/2021,"32,535.04"
12/8/2021,"32,686.45"
12/9/2021,"32,133.25"
12/10/2021,"32,584.72"
12/13/2021,"32,033.34"
12/14/2021,"31,645.51"
12/15/2021,"32,625.56"
12/16/2021,"31,663.62"
12/17/2021,"31,433.66"
12/20/2021,"31,004.37"
12/21/2021,"31,818.82"
12/22/2021,"32,262.50"
12/23/2021,"32,575.39"
12/24/2021,"32,575.39"
12/27/2021,"33,358.42"
12/28/2021,"33,176.55"
12/29/2021,"33,094.38"
12/30/2021,"32,864.59"
12/31/2021,"32,653.88"
1/3/2022,"33,034.46"
1/4/2022,"32,566.32"
1/5/2022,"31,275.49"
1/6/2022,"31,200.66"
1/7/2022,"30,768.37"
1/10/2022,"30,772.72"
1/11/2022,"31,227.09"
1/12/2022,"31,391.54"
1/13/2022,"30,441.04"
1/14/2022,"30,589.52"
1/17/2022,"30,589.52"
1/18/2022,"29,700.72"
1/19/2022,"29,289.55"
1/20/2022,"28,751.49"
1/21/2022,"28,935.05"
1/24/2022,"29,064.04"
1/25/2022,"28,300.67"
1/26/2022,"28,344.90"
1/27/2022,"27,924.41"
1/28/2022,"28,920.41"
1/31/2022,"29,934.63"
2/1/2022,"30,219.09"
2/2/2022,"30,677.50"
2/3/2022,"29,439.60"
2/4/2022,"29,872.66"
2/7/2022,"29,637.01"
2/8/2022,"30,049.46"
2/9/2022,"30,760.82"
2/10/2022,"29,914.63"
2/11/2022,"28,749.79"
2/14/2022,"28,771.58"
2/15/2022,"29,575.90"
2/16/2022,"29,529.44"
2/17/2022,"28,537.13"
2/18/2022,"28,256.58"
2/21/2022,"28,256.58"
2/22/2022,"27,911.45"
2/23/2022,"27,116.22"
2/24/2022,"28,105.14"
2/25/2022,"28,687.96"
2/28/2022,"28,781.09"
3/1/2022,"28,143.29"
3/2/2022,"28,743.75"
3/3/2022,"28,329.03"
3/4/2022,"27,848.62"
3/7/2022,"26,704.87"
3/8/2022,"26,594.76"
3/9/2022,"27,715.53"
3/10/2022,"27,417.72"
3/11/2022,"26,854.32"
3/14/2022,"26,380.53"
3/15/2022,"27,364.56"
3/16/2022,"28,376.06"
3/17/2022,"28,712.58"
3/18/2022,"29,357.54"
3/21/2022,"29,327.42"
3/22/2022,"29,806.89"
3/23/2022,"29,333.15"
3/24/2022,"30,072.09"
3/25/2022,"30,098.48"
3/28/2022,"30,578.17"
3/29/2022,"31,141.87"
3/30/2022,"30,702.39"
3/31/2022,"30,016.48"
4/1/2022,"29,987.60"
4/4/2022,"30,783.66"
4/5/2022,"30,064.18"
4/6/2022,"29,329.80"
4/7/2022,"29,506.50"
4/8/2022,"29,071.87"
4/11/2022,"28,211.86"
4/12/2022,"28,017.35"
4/13/2022,"28,581.66"
4/14/2022,"27,859.25"
4/15/2022,"27,859.25"
4/18/2022,"27,895.50"
4/19/2022,"28,565.46"
4/20/2022,"28,237.80"
4/21/2022,"27,572.54"
4/22/2022,"26,674.76"
4/25/2022,"27,430.33"
4/26/2022,"26,223.43"
4/27/2022,"26,252.81"
4/28/2022,"27,309.19"
4/29/2022,"25,922.67"
5/2/2022,"26,365.54"
5/3/2022,"26,465.21"
5/4/2022,"27,567.94"
5/5/2022,"26,014.00"
5/6/2022,"25,771.60"
5/9/2022,"24,940.65"
5/10/2022,"25,226.33"
5/11/2022,"24,448.18"
5/12/2022,"24,353.01"
5/13/2022,"25,360.63"
5/16/2022,"25,087.22"
5/17/2022,"25,868.57"
5/18/2022,"24,408.18"
5/19/2022,"24,271.40"
5/20/2022,"24,133.79"
5/23/2022,"27,645.08"
5/24/2022,"27,082.27"
5/25/2022,"27,433.70"
5/26/2022,"28,278.60"
5/27/2022,"29,270.32"
5/30/2022,"29,270.32"
5/31/2022,"29,142.82"
6/1/2022,"28,906.73"
6/2/2022,"29,913.98"
6/3/2022,"29,123.73"
6/6/2022,"29,234.60"
6/7/2022,"29,480.45"
6/8/2022,"29,146.00"
6/9/2022,"28,339.93"
6/10/2022,"27,240.55"
6/13/2022,"25,908.94"
6/14/2022,"25,955.54"
6/15/2022,"26,579.28"
6/16/2022,"25,447.42"
6/17/2022,"25,630.88"
6/20/2022,"25,630.88"
6/21/2022,"26,301.71"
6/22/2022,"26,281.17"
6/23/2022,"26,682.91"
6/24/2022,"27,737.23"
6/27/2022,"27,534.51"
6/28/2022,"26,596.87"
6/29/2022,"26,582.03"
6/30/2022,"26,281.19"
7/1/2022,"26,381.71"
7/4/2022,"26,381.71"
7/5/2022,"26,794.87"
7/6/2022,"26,966.85"
7/7/2022,"27,601.63"
7/8/2022,"27,644.38"
7/11/2022,"27,102.50"
7/12/2022,"26,727.48"
7/13/2022,"26,678.13"
7/14/2022,"26,803.80"
7/15/2022,"27,359.43"
7/18/2022,"27,137.72"
7/19/2022,"28,074.03"
7/20/2022,"28,550.04"
7/21/2022,"29,043.81"
7/22/2022,"28,495.03"
7/25/2022,"28,372.95"
7/26/2022,"27,777.81"
7/27/2022,"28,969.38"
7/28/2022,"29,420.96"
7/29/2022,"30,067.08"
8/1/2022,"30,050.38"
8/2/2022,"29,954.90"
8/3/2022,"30,625.76"
8/4/2022,"30,875.72"
8/5/2022,"30,668.27"
8/8/2022,"30,523.87"
8/9/2022,"30,115.86"
8/10/2022,"31,022.35"
8/11/2022,"30,854.16"
8/12/2022,"31,536.48"
8/15/2022,"31,755.54"
8/16/2022,"31,723.36"
8/17/2022,"31,388.62"
8/18/2022,"31,531.64"
8/19/2022,"30,811.85"
